Customer_ID,Segment
CUST01175,INDIVIDUAL
CUST01180,INDIVIDUAL
CUST01181,INDIVIDUAL
CUST01182,INDIVIDUAL
CUST01183,INDIVIDUAL
CUST01184,INDIVIDUAL
CUST01185,INDIVIDUAL
CUST01186,INDIVIDUAL
CUST01187,INDIVIDUAL
CUST01188,INDIVIDUAL
CUST01189,INDIVIDUAL
CUST01190,INDIVIDUAL
CUST01191,INDIVIDUAL
CUST01192,INDIVIDUAL
CUST01194,INDIVIDUAL
CUST01195,INDIVIDUAL
CUST01196,INDIVIDUAL
CUST01197,INDIVIDUAL
CUST01199,INDIVIDUAL
CUST01200,INDIVIDUAL
CUST01202,INDIVIDUAL
CUST01203,INDIVIDUAL
CUST01204,INDIVIDUAL
CUST01206,INDIVIDUAL
CUST01207,INDIVIDUAL
CUST01208,INDIVIDUAL
CUST01209,INDIVIDUAL
CUST01210,INDIVIDUAL
CUST01211,INDIVIDUAL
CUST01214,INDIVIDUAL
CUST01216,INDIVIDUAL
CUST01217,INDIVIDUAL
CUST01218,INDIVIDUAL
CUST01220,INDIVIDUAL
CUST01221,INDIVIDUAL
CUST01222,INDIVIDUAL
CUST01224,INDIVIDUAL
CUST01229,INDIVIDUAL
CUST01232,INDIVIDUAL
CUST01233,INDIVIDUAL
CUST01234,INDIVIDUAL
CUST01235,INDIVIDUAL
CUST01236,INDIVIDUAL
CUST01237,INDIVIDUAL
CUST01238,INDIVIDUAL
CUST01239,INDIVIDUAL
CUST01244,INDIVIDUAL
CUST01245,INDIVIDUAL
CUST01246,INDIVIDUAL
CUST01247,INDIVIDUAL
CUST01248,INDIVIDUAL
CUST01249,INDIVIDUAL
CUST01254,INDIVIDUAL
CUST01255,INDIVIDUAL
CUST01260,INDIVIDUAL
CUST01261,INDIVIDUAL
CUST01263,INDIVIDUAL
CUST01266,INDIVIDUAL
CUST01269,INDIVIDUAL
CUST01271,INDIVIDUAL
CUST01272,INDIVIDUAL
CUST01277,INDIVIDUAL
CUST01278,INDIVIDUAL
CUST01279,INDIVIDUAL
CUST01280,INDIVIDUAL
CUST01282,INDIVIDUAL
CUST01283,INDIVIDUAL
CUST01285,INDIVIDUAL
CUST01286,INDIVIDUAL
CUST01288,INDIVIDUAL
CUST01290,INDIVIDUAL
CUST01297,INDIVIDUAL
CUST01298,INDIVIDUAL
CUST01299,INDIVIDUAL
CUST01300,INDIVIDUAL
CUST01302,INDIVIDUAL
CUST01305,INDIVIDUAL
CUST01306,INDIVIDUAL
CUST01310,INDIVIDUAL
CUST01312,INDIVIDUAL
CUST01316,INDIVIDUAL
CUST01320,INDIVIDUAL
CUST01322,INDIVIDUAL
CUST01323,INDIVIDUAL
CUST01324,INDIVIDUAL
CUST01329,INDIVIDUAL
CUST01331,INDIVIDUAL
CUST01333,INDIVIDUAL
CUST01335,INDIVIDUAL
CUST01337,INDIVIDUAL
CUST01343,INDIVIDUAL
CUST01345,INDIVIDUAL
CUST01349,INDIVIDUAL
CUST01350,INDIVIDUAL
CUST01355,INDIVIDUAL
CUST01356,INDIVIDUAL
CUST01357,INDIVIDUAL
CUST01360,INDIVIDUAL
CUST01361,INDIVIDUAL
CUST01363,INDIVIDUAL
CUST01364,INDIVIDUAL
CUST01367,INDIVIDUAL
CUST01368,INDIVIDUAL
CUST01369,INDIVIDUAL
CUST01373,INDIVIDUAL
CUST01375,INDIVIDUAL
CUST01377,INDIVIDUAL
CUST01378,INDIVIDUAL
CUST01379,INDIVIDUAL
CUST01380,INDIVIDUAL
CUST01381,INDIVIDUAL
CUST01382,INDIVIDUAL
CUST01383,INDIVIDUAL
CUST01384,INDIVIDUAL
CUST01385,INDIVIDUAL
CUST01387,INDIVIDUAL
CUST01389,INDIVIDUAL
CUST01392,INDIVIDUAL
CUST01394,INDIVIDUAL
CUST01398,INDIVIDUAL
CUST01400,INDIVIDUAL
CUST01401,INDIVIDUAL
CUST01405,INDIVIDUAL
CUST01406,INDIVIDUAL
CUST01408,INDIVIDUAL
CUST01409,INDIVIDUAL
CUST01410,INDIVIDUAL
CUST01411,INDIVIDUAL
CUST01412,INDIVIDUAL
CUST01413,INDIVIDUAL
CUST01414,INDIVIDUAL
CUST01415,INDIVIDUAL
CUST01416,INDIVIDUAL
CUST01417,INDIVIDUAL
CUST01418,INDIVIDUAL
CUST01422,INDIVIDUAL
CUST01424,INDIVIDUAL
CUST01426,INDIVIDUAL
CUST01430,INDIVIDUAL
CUST01431,INDIVIDUAL
CUST01433,INDIVIDUAL
CUST01434,INDIVIDUAL
CUST01437,INDIVIDUAL
CUST01440,INDIVIDUAL
CUST01441,INDIVIDUAL
CUST01447,INDIVIDUAL
CUST01449,INDIVIDUAL
CUST01458,INDIVIDUAL
CUST01459,INDIVIDUAL
CUST01460,INDIVIDUAL
CUST01461,INDIVIDUAL
CUST01464,INDIVIDUAL
CUST01478,INDIVIDUAL
CUST01479,INDIVIDUAL
CUST01480,INDIVIDUAL
CUST01482,INDIVIDUAL
CUST01483,INDIVIDUAL
CUST01492,INDIVIDUAL
CUST01493,INDIVIDUAL
CUST01496,INDIVIDUAL
CUST01498,INDIVIDUAL
CUST01500,INDIVIDUAL
CUST01501,INDIVIDUAL
CUST01504,INDIVIDUAL
CUST01505,INDIVIDUAL
CUST01507,INDIVIDUAL
CUST01508,INDIVIDUAL
CUST01511,INDIVIDUAL
CUST01513,INDIVIDUAL
CUST01514,INDIVIDUAL
CUST01516,INDIVIDUAL
CUST01521,INDIVIDUAL
CUST01522,INDIVIDUAL
CUST01524,INDIVIDUAL
CUST01525,INDIVIDUAL
CUST01529,INDIVIDUAL
CUST01530,INDIVIDUAL
CUST01531,INDIVIDUAL
CUST01534,INDIVIDUAL
CUST01538,INDIVIDUAL
CUST01540,INDIVIDUAL
CUST01544,INDIVIDUAL
CUST01548,INDIVIDUAL
CUST01549,INDIVIDUAL
CUST01550,INDIVIDUAL
CUST01559,INDIVIDUAL
CUST01560,INDIVIDUAL
CUST01566,INDIVIDUAL
CUST01569,INDIVIDUAL
CUST01575,INDIVIDUAL
CUST01580,INDIVIDUAL
CUST01589,INDIVIDUAL
CUST01591,INDIVIDUAL
CUST01593,INDIVIDUAL
CUST01595,INDIVIDUAL
CUST01596,INDIVIDUAL
CUST01597,INDIVIDUAL
CUST01598,INDIVIDUAL
CUST01599,INDIVIDUAL
CUST01600,INDIVIDUAL
CUST01605,INDIVIDUAL
CUST01607,INDIVIDUAL
CUST01613,INDIVIDUAL
CUST01615,INDIVIDUAL
CUST01616,INDIVIDUAL
CUST01621,INDIVIDUAL
CUST01623,INDIVIDUAL
CUST01625,INDIVIDUAL
CUST01626,INDIVIDUAL
CUST01646,INDIVIDUAL
CUST01648,INDIVIDUAL
CUST01650,INDIVIDUAL
CUST01660,INDIVIDUAL
CUST01661,INDIVIDUAL
CUST01663,INDIVIDUAL
CUST01668,INDIVIDUAL
CUST01671,INDIVIDUAL
CUST01674,INDIVIDUAL
CUST01681,INDIVIDUAL
CUST01690,INDIVIDUAL
CUST01691,INDIVIDUAL
CUST01698,INDIVIDUAL
CUST01699,INDIVIDUAL
CUST01702,INDIVIDUAL
CUST01703,INDIVIDUAL
CUST01705,INDIVIDUAL
CUST01723,INDIVIDUAL
CUST01725,INDIVIDUAL
CUST01728,INDIVIDUAL
CUST01736,INDIVIDUAL
CUST01745,INDIVIDUAL
CUST01746,INDIVIDUAL
CUST01748,INDIVIDUAL
CUST01751,INDIVIDUAL
CUST01752,INDIVIDUAL
CUST01758,INDIVIDUAL
CUST01760,INDIVIDUAL
CUST01772,INDIVIDUAL
CUST01774,INDIVIDUAL
CUST01779,INDIVIDUAL
CUST01789,INDIVIDUAL
CUST01795,INDIVIDUAL
CUST01796,INDIVIDUAL
CUST01802,INDIVIDUAL
CUST01808,INDIVIDUAL
CUST01814,INDIVIDUAL
CUST01821,INDIVIDUAL
CUST01824,INDIVIDUAL
CUST01834,INDIVIDUAL
CUST01836,INDIVIDUAL
CUST01841,INDIVIDUAL
CUST01846,INDIVIDUAL
CUST01851,INDIVIDUAL
CUST01863,INDIVIDUAL
CUST01869,INDIVIDUAL
CUST01886,INDIVIDUAL
CUST01889,INDIVIDUAL
CUST01890,INDIVIDUAL
CUST01896,INDIVIDUAL
CUST01899,INDIVIDUAL
CUST01901,INDIVIDUAL
CUST01908,INDIVIDUAL
CUST01909,INDIVIDUAL
CUST01913,INDIVIDUAL
CUST01914,INDIVIDUAL
CUST01915,INDIVIDUAL
CUST01924,INDIVIDUAL
CUST01932,INDIVIDUAL
CUST01935,INDIVIDUAL
CUST01942,INDIVIDUAL
CUST01946,INDIVIDUAL
CUST01949,INDIVIDUAL
CUST01955,INDIVIDUAL
CUST01956,INDIVIDUAL
CUST01959,INDIVIDUAL
CUST01961,INDIVIDUAL
CUST01963,INDIVIDUAL
CUST01973,INDIVIDUAL
CUST01974,INDIVIDUAL
CUST01977,INDIVIDUAL
CUST01982,INDIVIDUAL
CUST01984,INDIVIDUAL
CUST01994,INDIVIDUAL
